shopping,travel,dining,fuel,groceries,cardNorm,reward
45569,24899,18690,8731,204,0.000000,35911.56
45569,24899,18690,8731,204,0.040000,15344.34
45569,24899,18690,8731,204,0.080000,42459.84
45569,24899,18690,8731,204,0.120000,33668.76
45569,24899,18690,8731,204,0.160000,2942.79
45569,24899,18690,8731,204,0.200000,13557.75
45569,24899,18690,8731,204,0.240000,35936.04
45569,24899,18690,8731,204,0.280000,6364.50
45569,24899,18690,8731,204,0.320000,14914.32
45569,24899,18690,8731,204,0.360000,33668.76
45569,24899,18690,8731,204,0.400000,8491.97
45569,24899,18690,8731,204,0.440000,19506.72
45569,24899,18690,8731,204,0.480000,5617.53
45569,24899,18690,8731,204,0.520000,6237.63
45569,24899,18690,8731,204,0.560000,11771.16
45569,24899,18690,8731,204,0.600000,9307.29
45569,24899,18690,8731,204,0.640000,19506.72
45569,24899,18690,8731,204,0.680000,42664.44
45569,24899,18690,8731,204,0.720000,11294.46
45569,24899,18690,8731,204,0.760000,11771.16
45569,24899,18690,8731,204,0.800000,35936.04
45569,24899,18690,8731,204,0.840000,13866.60
45569,24899,18690,8731,204,0.880000,19506.72
45569,24899,18690,8731,204,0.920000,3896.45
45569,24899,18690,8731,204,0.960000,6364.50
45569,24899,18690,8731,204,1.000000,28445.88
34552,23872,1871,3439,2649,0.000000,25093.32
34552,23872,1871,3439,2649,0.040000,10577.58
34552,23872,1871,3439,2649,0.080000,29121.12
34552,23872,1871,3439,2649,0.120000,24868.80
34552,23872,1871,3439,2649,0.160000,1991.49
34552,23872,1871,3439,2649,0.200000,9271.77
34552,23872,1871,3439,2649,0.240000,25411.20
34552,23872,1871,3439,2649,0.280000,4516.50
34552,23872,1871,3439,2649,0.320000,9204.00
34552,23872,1871,3439,2649,0.360000,24868.80
34552,23872,1871,3439,2649,0.400000,5824.22
34552,23872,1871,3439,2649,0.440000,12654.60
34552,23872,1871,3439,2649,0.480000,3800.34
34552,23872,1871,3439,2649,0.520000,4120.74
34552,23872,1871,3439,2649,0.560000,7965.96
34552,23872,1871,3439,2649,0.600000,6507.99
34552,23872,1871,3439,2649,0.640000,12654.60
34552,23872,1871,3439,2649,0.680000,26084.76
34552,23872,1871,3439,2649,0.720000,7864.95
34552,23872,1871,3439,2649,0.760000,7965.96
34552,23872,1871,3439,2649,0.800000,25411.20
34552,23872,1871,3439,2649,0.840000,8791.32
34552,23872,1871,3439,2649,0.880000,12654.60
34552,23872,1871,3439,2649,0.920000,2467.34
34552,23872,1871,3439,2649,0.960000,4516.50
34552,23872,1871,3439,2649,1.000000,20930.64
32576,9440,111,9310,3849,0.000000,22746.00
32576,9440,111,9310,3849,0.040000,6984.24
32576,9440,111,9310,3849,0.080000,20602.80
32576,9440,111,9310,3849,0.120000,22732.68
32576,9440,111,9310,3849,0.160000,1658.58
32576,9440,111,9310,3849,0.200000,6809.28
32576,9440,111,9310,3849,0.240000,23207.88
32576,9440,111,9310,3849,0.280000,3205.59
32576,9440,111,9310,3849,0.320000,9985.92
32576,9440,111,9310,3849,0.360000,22732.68
32576,9440,111,9310,3849,0.400000,4120.56
32576,9440,111,9310,3849,0.440000,11018.64
32576,9440,111,9310,3849,0.480000,2922.39
32576,9440,111,9310,3849,0.520000,3616.47
32576,9440,111,9310,3849,0.560000,6634.32
