total_spend,spend_shopping,spend_travel,spend_fuel,spend_dining,spend_groceries,best_card_logic,most_used_card_sim
27015.82,5045.52,2350.33,10141.98,1128.6,8349.39,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
11806.45,1613.78,2661.15,1846.11,2412.39,3273.03,Tata Neu Infinity Credit Card,Millennia Credit Card
35798.73,297.19,20474.82,4492.2,6945.64,3588.88,Diners Club Black,BPCL Octane Credit Card
43883.51,11135.19,8307.82,3301.91,15318.01,5820.59,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
38985.25,456.8,9796.48,7716.21,10875.03,10140.73,Cashback Credit Card,Millennia Credit Card
34288.76,5854.43,7920.77,9510.09,4619.6,6383.86,Tata Neu Infinity Credit Card,Cashback Credit Card
55764.5,9438.19,12706.41,7255.34,23593.35,2771.21,Cashback Credit Card,Diners Club Black
17851.74,206.78,2851.21,174.71,8345.68,6273.36,Cashback Credit Card,Diners Club Black
28774.58,5432.26,13642.42,133.81,7140.17,2425.93,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
11990.47,3081.94,940.08,2647.99,1875.55,3444.92,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
25885.93,66.93,9165.38,8402.32,5628.47,2622.83,BPCL Octane Credit Card,BPCL Octane Credit Card
11908.87,1319.71,2671.79,3698.6,662.12,3556.65,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
44452.19,4359.44,2962.16,18931.52,2121.09,16077.98,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
47824.57,7349.58,21264.13,1696.61,12471.8,5042.45,Cashback Credit Card,Diners Club Black
29361.7,11230.29,2357.5,4448.72,10955.33,369.85,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
29895.13,8874.69,2189.19,1501.43,12995.17,4334.65,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
8591.75,915.92,1144.64,2691.6,2926.08,913.52,Cashback Credit Card,Cashback Credit Card
16932.84,6692.72,5321.45,1239.23,2511.46,1167.98,Tata Neu Infinity Credit Card,Diners Club Black
40165.91,3451.19,67.73,19038.25,8982.51,8626.23,BPCL Octane Credit Card,Millennia Credit Card
41088.57,14747.03,2779.1,12926.42,1895.29,8740.73,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
12981.84,3179.29,902.09,6270.13,1630.73,999.6,BPCL Octane Credit Card,Millennia Credit Card
45007.58,655.71,5667.54,12663.16,11741.79,14279.38,Tata Neu Infinity Credit Card,Cashback Credit Card
12548.43,894.15,149.03,4177.84,4009.98,3317.43,Tata Neu Infinity Credit Card,Millennia Credit Card
37185.24,1838.8,10411.31,8504.74,5437.86,10992.53,Tata Neu Infinity Credit Card,Millennia Credit Card
9764.44,1247.34,4056.14,679.45,1312.52,2468.99,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
29338.13,6536.62,4667.52,5825.5,7554.42,4754.07,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
52431.16,7448.54,11078.26,11460.05,6300.18,16144.13,Tata Neu Infinity Credit Card,Diners Club Black
30142.34,4245.59,9212.94,6587.89,3929.61,6166.3,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
39651.65,1342.7,8115.9,167.79,5131.51,24893.75,Tata Neu Infinity Credit Card,Cashback Credit Card
46698.78,3000.06,11677.39,6809.81,14067.05,11144.48,Tata Neu Infinity Credit Card,Millennia Credit Card
48720.69,6444.5,5372.12,3152.45,18451.96,15299.67,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
38508.97,9982.54,1546.94,3364.75,14317.21,9297.53,Tata Neu Infinity Credit Card,Millennia Credit Card
49992.81,9491.37,9960.21,9575.51,9694.58,11271.14,Tata Neu Infinity Credit Card,Millennia Credit Card
21599.19,5797.22,827.22,5238.99,6737.08,2998.68,Tata Neu Infinity Credit Card,Cashback Credit Card
51244.39,17204.27,9008.63,16482.2,5032.65,3516.63,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
38774.23,13436.77,7503.12,3274.63,10884.82,3674.9,Tata Neu Infinity Credit Card,Cashback Credit Card
20305.92,15188.85,673.96,1893.2,2292.46,257.45,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
34883.77,347.88,8800.63,9675.63,5556.92,10502.7,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
51583.95,10881.78,1645.22,17216.82,6059.76,15780.37,Tata Neu Infinity Credit Card,Cashback Credit Card
10200.31,1998.09,1912.56,1119.97,3151.25,2018.43,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
20391.21,3034.65,5461.08,10536.98,605.74,752.76,BPCL Octane Credit Card,Cashback Credit Card
36333.04,657.06,20916.3,6283.68,3374.82,5101.18,Diners Club Black,Cashback Credit Card
26506.71,8243.45,1008.64,3309.78,9368.76,4576.08,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
34159.89,6904.76,4570.27,12434.17,5794.82,4455.86,Tata Neu Infinity Credit Card,Diners Club Black
22605.92,2509.92,6343.74,7903.49,4526.01,1322.77,BPCL Octane Credit Card,BPCL Octane Credit Card
13576.28,839.41,5662.33,5158.15,1561.01,355.37,BPCL Octane Credit Card,Millennia Credit Card
23564.22,2373.46,4563.52,7613.34,3841.25,5172.65,Tata Neu Infinity Credit Card,Cashback Credit Card
57692.71,19679.57,12859.98,1501.83,1327.42,22323.91,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
44031.79,7432.4,7723.09,7187.36,10098.32,11590.62,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
36638.49,9330.5,9039.58,6220.56,7764.41,4283.44,Tata Neu Infinity Credit Card,Millennia Credit Card
17785.2,629.1,6420.97,6944.87,2706.19,1084.07,BPCL Octane Credit Card,Tata Neu Infinity Credit Card
22469.66,5302.36,2113.13,5279.23,6678.49,3096.46,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
41420.91,5749.38,9507.62,5071.25,4453.72,16638.94,Tata Neu Infinity Credit Card,Diners Club Black
13738.09,3942.38,4112.17,272.74,5046.39,364.4,Cashback Credit Card,Cashback Credit Card
18317.87,7041.68,1935.99,4644.17,2865.74,1830.29,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
26811.67,6887.73,6222.01,4740.99,6620.13,2340.81,Tata Neu Infinity Credit Card,Cashback Credit Card
23352.83,4478.55,529.06,5333.13,4424.99,8587.1,Tata Neu Infinity Credit Card,Diners Club Black
29732.05,7726.02,8067.25,5477.46,621.48,7839.84,Tata Neu Infinity Credit Card,Diners Club Black
14472.1,4846.86,1357.61,1353.31,1199.61,5714.7,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
14350.62,3759.41,2219.07,3504.74,590.43,4276.96,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
56960.37,11656.64,12378.15,21906.13,5413.71,5605.74,Tata Neu Infinity Credit Card,Diners Club Black
25539.35,6594.04,4364.64,6970.08,6988.99,621.61,Tata Neu Infinity Credit Card,Cashback Credit Card
52068.69,10845.46,1166.51,13428.34,13756.28,12872.11,Tata Neu Infinity Credit Card,Cashback Credit Card
53861.96,9853.69,4469.9,4959.0,10413.19,24166.19,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
29876.54,7604.59,3329.58,9038.46,3451.68,6452.23,Tata Neu Infinity Credit Card,Cashback Credit Card
28568.09,9908.51,4810.25,893.33,4575.63,8380.37,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
46636.46,8411.35,9445.5,6269.79,11251.92,11257.91,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
34628.5,908.8,9080.07,10442.37,8430.21,5767.04,Cashback Credit Card,Millennia Credit Card
52198.38,1653.2,6746.16,6364.27,17928.5,19506.24,Tata Neu Infinity Credit Card,Diners Club Black
20407.25,4407.02,1324.55,8492.64,5596.87,586.17,Cashback Credit Card,Millennia Credit Card
18771.03,5423.68,5305.28,2993.95,798.54,4249.57,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
20000.57,8803.8,3207.1,2921.14,4823.77,244.75,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
15396.07,5770.74,1214.18,1270.58,276.05,6864.52,Tata Neu Infinity Credit Card,Diners Club Black
55280.44,14505.01,7289.74,3270.81,13049.04,17165.84,Tata Neu Infinity Credit Card,Millennia Credit Card
11870.62,400.13,1277.75,4450.6,2219.94,3522.2,Tata Neu Infinity Credit Card,Cashback Credit Card
55112.41,7215.95,16475.62,14335.16,12986.97,4098.7,Cashback Credit Card,Cashback Credit Card
49966.46,13288.55,11963.09,5773.48,7275.6,11665.73,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
47437.84,10390.86,10048.96,7347.41,12014.03,7636.58,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
12752.57,5878.8,3173.84,675.0,1030.39,1994.54,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
43422.43,3353.56,1584.94,11830.24,8660.32,17993.36,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
28480.79,923.82,10118.13,10388.8,5894.91,1155.12,BPCL Octane Credit Card,Diners Club Black
26349.8,8361.53,8070.01,2621.08,3605.18,3692.0,Tata Neu Infinity Credit Card,BPCL Octane Credit Card
24563.31,3959.24,3140.75,5304.74,7368.09,4790.48,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card
26809.04,1501.79,7455.55,4516.52,6221.4,7113.79,Tata Neu Infinity Credit Card,Diners Club Black
30671.02,6978.74,9636.58,2201.69,8406.11,3447.89,Tata Neu Infinity Credit Card,Cashback Credit Card
49654.94,15338.71,9023.88,7390.9,12930.5,4970.96,Tata Neu Infinity Credit Card,Cashback Credit Card
44861.87,771.26,9612.57,14129.67,8168.52,12179.85,Tata Neu Infinity Credit Card,Millennia Credit Card
49707.16,5072.52,6232.35,13647.6,24590.86,163.83,Cashback Credit Card,Cashback Credit Card
47443.56,11937.91,12631.86,5402.08,7237.54,10234.18,Tata Neu Infinity Credit Card,Diners Club Black
49891.01,9351.36,14999.03,7782.47,1725.4,16032.75,Tata Neu Infinity Credit Card,Millennia Credit Card
36764.33,15763.1,3971.77,15822.4,1047.01,160.05,Tata Neu Infinity Credit Card,Millennia Credit Card
