month,food,groceries,travel,fuel,entertainment,shopping,bills,healthcare,total_spend,dominant_category
2023-01,4051,6512,1998,3277,3742,6173,7491,3250,36494,bills
2023-02,3650,5800,1775,3025,3375,4464,6939,2667,31695,bills
2023-03,3673,6296,2362,3264,3649,6058,6918,2617,34837,bills
2023-04,3476,5476,2050,2683,2880,3980,6278,2167,28990,bills
2023-05,3182,5217,3996,2827,3464,3771,5990,2231,30678,bills
2023-06,4113,6566,4344,3666,4323,4840,7336,2893,38081,bills
2023-07,4548,7022,3439,4007,5046,5203,8265,3581,41111,bills
2023-08,4739,7747,3059,4041,4596,5930,9133,3703,42948,bills
2023-09,5092,8141,3261,4124,4531,6041,9043,3663,43896,bills
2023-10,6211,9390,3343,4754,7149,10138,10074,4023,55082,shopping
2023-11,5008,8046,2703,3972,5546,10973,7338,3547,47133,shopping
2023-12,4747,7284,3393,3650,5409,7710,7495,3479,43167,shopping
2024-01,3915,5957,1791,3405,3637,5899,7071,3145,34820,bills
2024-02,4456,6875,2048,3551,4072,4809,7984,3642,37437,bills
2024-03,3729,5730,2404,3484,3484,5168,7196,2680,33875,bills
2024-04,4027,6451,2586,3476,3826,4685,7756,2846,35653,bills
2024-05,3622,6056,4707,3265,4378,4349,7162,2672,36211,bills
2024-06,3600,5942,4210,3325,4016,4449,6959,2518,35019,bills
2024-07,3781,6286,3268,3332,4404,4353,7592,3143,36159,bills
2024-08,4138,6675,2726,3807,4106,5284,8336,3294,38366,bills
2024-09,5504,8929,3563,4771,5400,6415,10700,3919,49201,bills
2024-10,5311,9188,3286,4312,6520,8949,10265,3655,51486,bills
2024-11,5124,8619,3057,4170,6239,11404,9571,4076,52260,shopping
2024-12,4315,7857,3303,3947,5499,7995,7734,3722,44372,shopping
2025-01,4208,6362,1988,3370,3841,6126,7936,3283,37114,bills
2025-02,3985,6486,1881,3262,3631,4566,7077,3136,34024,bills
2025-03,3638,5883,2216,2975,3446,5082,6513,2475,32228,bills
2025-04,2950,4654,1858,2365,2718,3508,5785,2041,25879,bills
2025-05,3254,5713,4588,2937,3957,4003,6485,2444,33381,bills
2025-06,3554,6004,3941,3432,4014,4033,7125,2542,34645,bills
2025-07,4270,6862,3275,3848,4629,5054,8175,3216,39329,bills
2025-08,4724,7738,2904,4100,4517,5279,8858,3675,41795,bills
2025-09,4995,8544,3280,4580,4865,6026,9734,3438,45462,bills
2025-10,5887,8546,2944,4260,6180,8397,9137,3459,48810,bills
2025-11,5644,8847,3086,4400,6395,11820,8904,3807,52903,shopping
2025-12,4167,6524,3089,3306,4816,6783,6709,2825,38219,shopping
2026-01,3891,6478,1865,3124,3591,5852,6800,3047,34648,bills
2026-02,4508,7826,2189,3766,4346,5192,8528,3526,39881,bills
2026-03,3265,5515,2039,2640,3136,4445,6430,2313,29783,bills
2026-04,3613,5890,2234,2996,3324,4086,7211,2535,31889,bills
2026-05,3756,6144,4689,3299,3805,4279,7038,2582,35592,bills
2026-06,3769,5351,4033,3065,3925,3956,6697,2510,33306,bills
2026-07,4615,7018,3372,3771,5099,5138,8023,3566,40602,bills
2026-08,4246,6843,2527,3735,3807,4989,7759,3366,37272,bills
2026-09,4465,6804,2668,3674,4212,5286,7503,3166,37778,bills
2026-10,5162,8584,2612,3710,6079,8056,7717,3273,45193,groceries
2026-11,4966,7674,2602,3811,5779,10138,7808,3335,46113,shopping
2026-12,4934,7890,3615,3944,5454,8099,8059,3416,45411,shopping
2027-01,4052,6555,1900,3463,3853,6227,7728,3125,36903,bills
2027-02,4057,6592,2113,3265,3937,4964,7703,3398,36029,bills
2027-03,3326,5147,2210,2692,3192,4746,6533,2510,30356,bills
2027-04,4375,7403,2822,3650,4195,5176,8989,3240,39850,bills
2027-05,3327,5740,4315,3045,3811,4144,6482,2543,33407,bills
2027-06,3770,6169,4148,3462,4215,4319,6962,2664,35709,bills
2027-07,4142,7166,3449,3882,4820,4899,8134,3423,39915,bills
2027-08,4750,7561,2798,4023,4176,5127,8637,3578,40650,bills
2027-09,4930,7487,2998,4131,4326,5688,8624,3242,41426,bills
2027-10,5575,8758,3040,4148,6246,9329,8692,3435,49223,shopping
2027-11,5304,9061,3123,4508,6360,12371,8717,3944,53388,shopping
2027-12,5028,8440,3651,4340,5604,8527,8283,3518,47391,shopping
2028-01,4308,6985,2195,3981,4198,7088,8091,3645,40491,bills
2028-02,3631,6422,1930,3217,3977,4445,6907,3062,33591,bills
2028-03,3578,5569,2212,2959,3390,4707,6152,2581,31148,bills
2028-04,4273,6945,2716,3787,4192,5187,8058,3248,38406,bills
2028-05,3421,5135,4600,3307,3667,3963,6690,2286,33069,bills
2028-06,3715,6013,4498,3616,4475,4707,7401,2815,37240,bills
2028-07,4498,7126,3494,3821,5019,4944,8499,3369,40770,bills
2028-08,5285,8315,3055,4489,5022,5681,9682,3846,45375,bills
2028-09,4280,7481,2894,3895,4350,5219,8276,3081,39476,bills
2028-10,5223,8734,3010,3868,6016,8541,9047,3272,47711,bills
2028-11,4865,8655,3086,4262,6095,11197,8035,3485,49680,shopping
2028-12,4571,7978,3621,3995,5466,8212,7617,3296,44756,shopping
2029-01,3575,5587,1594,2900,3343,5021,6354,2792,31166,bills
2029-02,4001,6389,1942,3389,4079,4808,7129,3231,34968,bills
2029-03,2856,4801,1720,2338,2824,3969,4926,1847,25281,bills
2029-04,3760,6762,2200,3141,3438,4425,7399,2569,33694,bills
2029-05,3688,6200,4622,3412,4051,4151,6772,2414,35310,bills
2029-06,3934,6288,4752,3741,4252,4424,7771,2479,37641,bills
2029-07,3733,6323,2946,3357,4154,4520,7466,2895,35394,bills
2029-08,5083,8210,3247,4350,4475,5622,9308,3842,44137,bills
2029-09,4914,7730,2951,3845,4335,5475,8458,3200,40908,bills
2029-10,5147,8695,2670,3831,5458,8661,8228,3004,45694,groceries
2029-11,5064,8825,2720,4207,5559,10120,8260,3469,48224,shopping
2029-12,4496,8097,3381,3726,5393,7263,7758,3187,43301,groceries
2030-01,4248,6750,2184,3583,4209,6319,7700,3476,38469,bills
2030-02,3977,6820,2245,3720,4307,4996,8100,3449,37614,bills
2030-03,3034,4958,2010,2688,3037,4041,5559,2239,27566,bills
2030-04,3582,5646,2147,2745,3591,3862,7191,2649,31413,bills
2030-05,3793,5912,4815,3130,4295,4257,7433,2761,36396,bills
2030-06,4096,6094,4507,3279,4187,4364,7234,2844,36605,bills
2030-07,4533,7223,3402,3755,4680,4817,8404,3449,40263,bills
2030-08,4108,7023,2473,3695,3849,4817,7924,3447,37336,bills
2030-09,5270,8888,3230,4227,4851,5914,9724,3966,46070,bills
2030-10,5054,8049,2744,3749,5427,8282,8325,3199,44829,bills
2030-11,5279,8686,2836,4161,6105,11606,9218,3709,51600,shopping
2030-12,5135,9224,4001,4194,5842,8940,8446,3798,49580,groceries
2031-01,4353,7870,2205,3967,4699,7493,8957,3790,43334,bills
2031-02,4048,6671,2125,3565,4306,4838,7823,3444,36820,bills
2031-03,4142,6847,2411,3183,3585,5876,7223,2736,36003,bills
2031-04,3693,5508,2076,3067,3375,4309,6711,2574,31313,bills
2031-05,3641,5164,4279,3015,3805,3990,6397,2315,32606,bills
2031-06,4253,6441,4636,3711,4732,4773,7846,2999,39391,bills
2031-07,4217,6668,3384,3743,4776,4985,7772,3377,38922,bills
2031-08,4802,7530,2740,4136,4233,5434,8878,3501,41254,bills
2031-09,4713,7203,2828,3887,4396,5538,7795,3165,39525,bills
2031-10,5162,8706,3152,4320,6689,9207,8973,3503,49712,shopping
2031-11,5480,9101,2940,4946,6205,11457,8865,3955,52949,shopping
2031-12,4799,7532,3497,3897,5538,7938,7187,3223,43611,shopping
2032-01,3900,6536,1995,3451,3729,6457,7585,3060,36713,bills
2032-02,4453,7421,2195,3768,4454,5583,8542,3458,39874,bills
2032-03,4007,6159,2229,3045,3457,5770,6863,2563,34093,bills
2032-04,3491,6149,2132,2890,3457,4263,7243,2638,32263,bills
2032-05,2950,5235,3819,2805,3665,3546,6577,2234,30831,bills
2032-06,3372,5867,4106,3074,4068,3962,7437,2556,34442,bills
2032-07,3891,6804,3029,3450,4844,4653,8418,3189,38278,bills
2032-08,4935,8355,3170,4448,4844,5895,9783,4074,45504,bills
2032-09,4755,7923,2794,4137,4531,5353,8800,3533,41826,bills
2032-10,6146,10134,3424,4769,6985,9223,9733,3969,54383,groceries
2032-11,4971,8442,2857,4114,6091,10174,8371,3591,48611,shopping
2032-12,4767,8245,3470,4037,5401,7830,7705,3445,44900,groceries
