category,amount,best_card_logic,actual_card,cb_Ace_Credit_Card,cb_Amazon_Pay_Credit_Card,cb_BPCL_Octane_Credit_Card,cb_BankBazaar_Credit_Card,cb_Cashback_Credit_Card,cb_Coral_Credit_Card,cb_Diners_Club_Black,cb_Elite_Credit_Card,cb_Emerald_Private_Metal,cb_First_Classic_Credit_Card,cb_First_Wealth_Credit_Card,cb_Flipkart_Axis_Bank_Credit_Card,cb_HPCL_Super_Saver_Credit_Card,cb_League_Platinum_Credit_Card,cb_Magnus_Credit_Card,cb_Millennia_Credit_Card,cb_My_Zone_Credit_Card,cb_PVR_Platinum_Credit_Card,cb_Regalia_Gold,cb_SimplyCLICK_Credit_Card,cb_SimplySAVE_Credit_Card,cb_Super_Value_Titanium_Credit_Card,cb_Tata_Neu_Infinity_Credit_Card,cb_Vistara_Infinite_Credit_Card,cb_White_Credit_Card,cb_YES_First_Business_Credit_Card
shopping,597.71,Millennia Credit Card,Millennia Credit Card,5.9771,17.9313,1.4943,2.9886,11.9542,1.4943,2.9886,1.4943,2.092,2.9886,1.4943,17.9313,1.4943,1.4943,1.4943,17.9313,2.2414,2.9886,1.4943,17.9313,5.9771,5.9771,17.9313,1.4943,1.4943,2.9886
travel,2876.8,Diners Club Black,Diners Club Black,14.384,14.384,7.192,14.384,14.384,7.192,43.152,14.384,30.2064,14.384,17.98,14.384,7.192,10.788,21.576,14.384,3.596,3.596,21.576,14.384,14.384,14.384,14.384,35.96,14.384,10.788
groceries,1830.08,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,18.3008,18.3008,4.5752,9.1504,18.3008,4.5752,4.5752,2.2876,3.2026,9.1504,2.2876,18.3008,4.5752,2.2876,2.2876,18.3008,2.2876,2.2876,2.2876,27.4512,18.3008,18.3008,36.6016,4.5752,2.2876,2.2876
shopping,1964.54,Millennia Credit Card,Millennia Credit Card,19.6454,58.9362,4.9113,9.8227,39.2908,4.9113,9.8227,4.9113,6.8759,9.8227,4.9113,58.9362,4.9113,4.9113,4.9113,58.9362,7.367,9.8227,4.9113,58.9362,19.6454,19.6454,58.9362,4.9113,4.9113,9.8227
groceries,628.07,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,6.2807,6.2807,1.5702,3.1404,6.2807,1.5702,1.5702,0.7851,1.0991,3.1404,0.7851,6.2807,1.5702,0.7851,0.7851,6.2807,0.7851,0.7851,0.7851,9.4211,6.2807,6.2807,12.5614,1.5702,0.7851,0.7851
groceries,8448.44,Tata Neu Infinity Credit Card,Tata Neu Infinity Credit Card,84.4844,84.4844,21.1211,42.2422,84.4844,21.1211,21.1211,10.5606,14.7848,42.2422,10.5606,84.4844,21.1211,10.5606,10.5606,84.4844,10.5606,10.5606,10.5606,126.7266,84.4844,84.4844,168.9688,21.1211,10.5606,10.5606
fuel,16207.67,BPCL Octane Credit Card,BPCL Octane Credit Card,81.0383,81.0383,405.1918,81.0383,81.0383,20.2596,40.5192,20.2596,28.3634,81.0383,20.2596,81.0383,324.1534,20.2596,20.2596,81.0383,20.2596,20.2596,20.2596,81.0383,81.0383,81.0383,81.0383,40.5192,20.2596,20.2596
travel,13992.97,Diners Club Black,Diners Club Black,69.9648,69.9648,34.9824,69.9648,69.9648,34.9824,209.8945,69.9648,146.9262,69.9648,87.4561,69.9648,34.9824,52.4736,104.9473,69.9648,17.4912,17.4912,104.9473,69.9648,69.9648,69.9648,69.9648,174.9121,69.9648,52.4736
travel,4384.74,Diners Club Black,League Platinum Credit Card,21.9237,21.9237,10.9619,21.9237,21.9237,10.9619,65.7711,21.9237,46.0398,21.9237,27.4046,21.9237,10.9619,16.4428,32.8855,21.9237,5.4809,5.4809,32.8855,21.9237,21.9237,21.9237,21.9237,54.8092,21.9237,16.4428
shopping,7243.69,Millennia Credit Card,Millennia Credit Card,72.4369,217.3107,18.1092,36.2184,144.8738,18.1092,36.2184,18.1092,25.3529,36.2184,18.1092,217.3107,18.1092,18.1092,18.1092,217.3107,27.1638,36.2184,18.1092,217.3107,72.4369,72.4369,217.3107,18.1092,18.1092,36.2184
